VG2017:AS080;VG2017:VG'A'AfAs80'ErAs;present-value;;;VT_BOOL;1;27;DI;Statuswarnung AS-STA #Tableau T08 ;;2017VGAT08S010D3;;0;0;0;0;120;DI;0;24;DI;0;0;0;2;//
VG2017:AS080;VG2017:VG'X'CmnAlm4;present-value;;;VT_BOOL;1;27;DI;SA Schaltschrank T08  #Terassengeschoss ;;2017VGAT08X000H0;;0;0;0;0;120;DI;0;25;DI;0;0;0;1;//
VG2017:AS080;VG2017:VG'X'CmnAlm1;present-value;;;VT_BOOL;1;27;DI;SA Fachgebiet Lueftung #Lueft.Cafeteria ;;2017VGXL00X000H1;;0;0;0;0;120;DI;0;27;DI;0;0;0;0;//
VG2017:AS080;VG2017:VG'X'CmnAlm3;present-value;;;VT_BOOL;1;27;DI;Sammelalarm Gebaeude #City-West ;;2017VGXX00X000H1;;0;0;0;0;120;DI;0;28;DI;0;0;0;0;//
VG2017:AS080;VG2017:VG'X'BIC80;present-value;;;VT_BOOL;1;27;DI;Kontroller AS080;;2017VGAT08C080H0;;0;0;0;0;120;DI;0;29;DI;0;0;0;1;//
VG2017:AS080;VG2017:VG'X'BIOPC;present-value;;;VT_BOOL;1;193;DI;IZ32OPCClient Ueberwachung;;2017VGXDESIGO;;0;0;0;0;120;DI;0;251;DI;0;0;0;2;//
VG2017:AS080;VG2017:VG'A'Ahu29'BI1;present-value;;;VT_BOOL;1;27;DI;ZUL-BSK Alarm #Druckdienst;;2017VG1L13Y742D0;;0;0;0;0;120;DI;0;26;DI;0;0;0;2;//
VG2017:AS080;VG2017:VG'A'Ahu29'BI2;present-value;;;VT_BOOL;1;113;DI;ZUL-BSK Rueckmeldung #Druckdienst;;2017VG1L13Y742D1;;0;0;0;0;120;DI;0;30;DI;0;0;0;0;//
VG2017:AS080;VG2017:VG'A'Ahu30'BI1;present-value;;;VT_BOOL;1;27;DI;ZUL/ABL-BSK Alarm #Foyer;;2017VG1L13Y743D0;;0;0;0;0;120;DI;0;31;DI;0;0;0;2;//
VG2017:AS080;VG2017:VG'A'Ahu30'BI2;present-value;;;VT_BOOL;1;113;DI;ZUL/ABL-BSK Rueckmeldung #Foyer;;2017VG1L13Y743D1;;0;0;0;0;120;DI;0;32;DI;0;0;0;0;//
VG2017:AS080;VG2017:VG'A'Ahu31'BI1;present-value;;;VT_BOOL;1;27;DI;ZUL/ABL-BSK Alarm #Spedition;;2017VG1L13Y744D0;;0;0;0;0;120;DI;0;33;DI;0;0;0;2;//
